Make,Model,Year,URL
BMW,X4,2017,https://www.caranddriver.com/bmw/x4/specs
BMW,X4 M,2020,https://www.caranddriver.com/bmw/x4-m/specs
BMW,X5,2017,https://www.caranddriver.com/bmw/x5/specs
BMW,X5 M,2017,https://www.caranddriver.com/bmw/x5-m/specs
BMW,X6,2017,https://www.caranddriver.com/bmw/x6/specs
BMW,X6 M,2017,https://www.caranddriver.com/bmw/x6-m/specs
BMW,X7,2019,https://www.caranddriver.com/bmw/x7/specs
BMW,XM,2023,https://www.caranddriver.com/bmw/xm/specs
BMW,Z4,2019,https://www.caranddriver.com/bmw/z4/specs
Bollinger,B1,2022,https://www.caranddriver.com/bollinger/b1/specs
Bollinger,B2,2022,https://www.caranddriver.com/bollinger/b2/specs
Bugatti,Chiron,2019,https://www.caranddriver.com/bugatti/chiron/specs
Bugatti,Divo,2020,https://www.caranddriver.com/bugatti/divo/specs
Bugatti,Veyron,2014,https://www.caranddriver.com/bugatti/veyron/specs
Buick,Cascada,2017,https://www.caranddriver.com/buick/cascada/specs
Buick,Electra E5,2025,https://www.caranddriver.com/buick/electra-e5/specs
Buick,Enclave,2017,https://www.caranddriver.com/buick/enclave/specs
Buick,Encore,2017,https://www.caranddriver.com/buick/encore/specs
Buick,Encore GX,2020,https://www.caranddriver.com/buick/encore-gx/specs
Buick,Envision,2017,https://www.caranddriver.com/buick/envision/specs
Buick,Envista,2024,https://www.caranddriver.com/buick/envista/specs
Buick,LaCrosse,2017,https://www.caranddriver.com/buick/lacrosse/specs
Buick,Lucerne,2011,https://www.caranddriver.com/buick/lucerne/specs
Buick,Regal,2017,https://www.caranddriver.com/buick/regal/specs
Buick,Regal GS,2017,https://www.caranddriver.com/buick/regal-gs/specs
Buick,Regal TourX,2018,https://www.caranddriver.com/buick/regal-tourx/specs
Buick,Verano,2017,https://www.caranddriver.com/buick/verano/specs
Byton,M-Byte,2022,https://www.caranddriver.com/byton/m-byte/specs
Cadillac,ATS,2017,https://www.caranddriver.com/cadillac/ats/specs
Cadillac,ATS-V,2019,https://www.caranddriver.com/cadillac/ats-v/specs
Cadillac,Celestiq,2024,https://www.caranddriver.com/cadillac/celestiq/specs
Cadillac,CT4,2020,https://www.caranddriver.com/cadillac/ct4/specs
Cadillac,CT4-V Blackwing,2022,https://www.caranddriver.com/cadillac/ct4-v-blackwing/specs
Cadillac,CT5,2020,https://www.caranddriver.com/cadillac/ct5/specs
Cadillac,CT5-V Blackwing,2022,https://www.caranddriver.com/cadillac/ct5-v-blackwing/specs
Cadillac,CT6,2017,https://www.caranddriver.com/cadillac/ct6/specs
Cadillac,CTS,2017,https://www.caranddriver.com/cadillac/cts/specs
Cadillac,CTS-V,2019,https://www.caranddriver.com/cadillac/cts-v/specs
Cadillac,DTS,2011,https://www.caranddriver.com/cadillac/dts/specs
Cadillac,ELR,2016,https://www.caranddriver.com/cadillac/elr/specs
Cadillac,Escalade / Escalade ESV,2017,https://www.caranddriver.com/cadillac/escalade-/-escalade-esv/specs
Cadillac,Escalade EXT,2013,https://www.caranddriver.com/cadillac/escalade-ext/specs
Cadillac,Escalade IQ,2025,https://www.caranddriver.com/cadillac/escalade-iq/specs
Cadillac,Lyriq,2023,https://www.caranddriver.com/cadillac/lyriq/specs
Cadillac,Optiq,2025,https://www.caranddriver.com/cadillac/optiq/specs
Cadillac,SRX,2016,https://www.caranddriver.com/cadillac/srx/specs
Cadillac,STS,2011,https://www.caranddriver.com/cadillac/sts/specs
Cadillac,Vistiq,2026,https://www.caranddriver.com/cadillac/vistiq/specs
Cadillac,XLR,2009,https://www.caranddriver.com/cadillac/xlr/specs
Cadillac,XT4,2019,https://www.caranddriver.com/cadillac/xt4/specs
Cadillac,XT5,2017,https://www.caranddriver.com/cadillac/xt5/specs
Cadillac,XT6,2020,https://www.caranddriver.com/cadillac/xt6/specs
Cadillac,XTS,2017,https://www.caranddriver.com/cadillac/xts/specs
